Wavelength (nm),Absorbance
817.5,0.005
818.0,0.005
818.5,0.005
819.0,0.005
819.5,0.005
820.0,0.005
820.5,0.005
821.0,0.005
821.5,0.005
822.0,0.005
822.5,0.005
823.0,0.005
823.5,0.005
824.0,0.005
824.5,0.005
825.0,0.005
825.5,0.005
826.0,0.005
826.5,0.005
827.0,0.005
827.5,0.005
828.0,0.005
828.5,0.005
829.0,0.005
829.5,0.005
830.0,0.005
830.5,0.005
831.0,0.005
831.5,0.005
832.0,0.005
832.5,0.005
833.0,0.005
833.5,0.005
834.0,0.005
834.5,0.005
835.0,0.005
835.5,0.005
836.0,0.005
836.5,0.005
837.0,0.005
837.5,0.005
838.0,0.005
838.5,0.005
839.0,0.005
839.5,0.005
840.0,0.005
840.5,0.005
841.0,0.005
841.5,0.005
842.0,0.005
842.5,0.005
843.0,0.005
843.5,0.005
844.0,0.005
844.5,0.005
845.0,0.004
845.5,0.005
846.0,0.005
846.5,0.005
847.0,0.005
847.5,0.005
848.0,0.005
848.5,0.004
849.0,0.005
849.5,0.005
850.0,0.005
850.5,0.005
851.0,0.005
851.5,0.005
852.0,0.005
852.5,0.004
853.0,0.004
853.5,0.005
854.0,0.005
854.5,0.005
855.0,0.005
855.5,0.005
856.0,0.005
856.5,0.005
857.0,0.005
857.5,0.005
858.0,0.005
858.5,0.005
859.0,0.005
859.5,0.005
860.0,0.005
860.5,0.005
861.0,0.005
861.5,0.005
862.0,0.005
862.5,0.005
863.0,0.005
863.5,0.004
864.0,0.005
864.5,0.005
865.0,0.005
865.5,0.005
866.0,0.004
866.5,0.004
867.0,0.004
867.5,0.005
868.0,0.004
868.5,0.005
869.0,0.005
869.5,0.005
870.0,0.004
870.5,0.004
871.0,0.004
871.5,0.005
872.0,0.005
872.5,0.005
873.0,0.004
873.5,0.004
874.0,0.003
874.5,0.004
875.0,0.004
875.5,0.005
876.0,0.004
876.5,0.004
877.0,0.004
877.5,0.004
878.0,0.004
878.5,0.004
879.0,0.004
879.5,0.004
880.0,0.003
880.5,0.003
881.0,0.003
881.5,0.005
882.0,0.004
882.5,0.004
883.0,0.004
883.5,0.005
884.0,0.006
884.5,0.005
885.0,0.005
885.5,0.005
886.0,0.005
886.5,0.005
887.0,0.003
887.5,0.002
888.0,0.002
888.5,0.003
889.0,0.004
889.5,0.003
890.0,0.003
890.5,0.003
891.0,0.004
891.5,0.004
892.0,0.004
892.5,0.003
893.0,0.004
893.5,0.003
894.0,0.003
894.5,0.003
895.0,0.005
895.5,0.005
896.0,0.006
896.5,0.004
897.0,0.007
897.5,0.005
898.0,0.005
898.5,0.002
899.0,0.002
899.5,0.003
900.0,0.003
